Date,Open,High,Low,Close,Volume,Adj Close
19-09-2012,700.26,703.99,699.57,702.1,81718700,95.8
20-09-2012,699.16,700.06,693.62,698.7,84142100,95.34
21-09-2012,702.41,705.07,699.36,700.09,142897300,95.53
24-09-2012,686.86,695.12,683,690.79,159941600,94.26
25-09-2012,688.26,692.78,673,673.54,129697400,91.91
26-09-2012,668.74,672.69,661.2,665.18,144125800,90.77
27-09-2012,664.29,682.17,660.35,681.32,148522500,92.97
28-09-2012,678.75,681.11,666.75,667.1,133777700,91.03
01-10-2012,671.16,676.75,656.5,659.39,135898700,89.98
02-10-2012,661.81,666.35,650.65,661.31,156998100,90.24
03-10-2012,664.86,671.86,662.63,671.45,106070300,91.62
04-10-2012,671.25,674.25,665.55,666.8,92681400,90.99
05-10-2012,665.2,666,651.28,652.59,148501500,89.05
08-10-2012,646.88,647.56,636.11,638.17,159498500,87.08
09-10-2012,638.65,640.49,623.55,635.85,209649300,86.76
10-10-2012,639.74,644.98,637,640.91,127589000,87.45
11-10-2012,646.5,647.2,628.1,628.1,136520300,85.71
12-10-2012,629.56,635.38,625.3,629.71,115003700,85.93
15-10-2012,632.35,635.13,623.85,634.76,108125500,86.61
16-10-2012,635.37,650.3,631,649.79,137442900,88.67
